Hotel Rooms booked in Spain
37
37
38
46
39
43
54
76
64
41
44
44
29
32
34
40
45
44
38
49
51
47
44
29
41
47
51
51
51
56
62
77
65
50
42
38
39
45
47
49
49
53
66
79
66
52
45
41
40.8
47.4
51.2
52.6
57.5
64.6
75.8
81.3
70.9
54.6
46
41.4
43
50.1
53.8
59.9
59.9
66
73
79.5
69.7
54.3
47.5
42.5
42
50.6
54.3
58.2
58.6
62.4
71.6
79.1
68.2
54.1
48.9
42.6
42.4
50.5
56.7
55.2
60.4
64.2
73.7
85.1
70.7
56.2
49.2
44
44.6
52.6
55.9
60.8
61.2
66.4
74.1
84.9
72.8
61.1
52
45.8
44.6
50.8
54.5
58.6
60.3
65
70.6
78
70.9
61.2
50.5
41.9
40.8
48.2
54.1
58.3
56.3
63.1
68.9
75.7
68.6
58.3
49.1
42.5
41.2
49.6
52.6
56.8
55.5
62.3
69.2
76.2
67.9
55.2
47.9
40.2
38.9
47.6
54.1
49.8
52.8
58
65.3
74.4
63.7
53.1
45.2
40
39.3
45
48.8
53
51.9
58.3
64.1
74.3
62
52.2
43.9
39.1
38.9
45.6
47.4
50
49.2
55.8
63.3
73.2
61.9
52.7
43.5
40.1
39.5
45.8
49.4
47
51.6
57
65.1
73.9
63.4
53.3
45.3
39.4
40.3
46.3
49
56.2
53.4
61
67.9
74.5
64.7
54.5
46.5
42.2
40.6
46.1
50.4
55.8
51.1
61.3
68.1
74.2
64.3
53.8
48.3
41.6
40.3
46.9
50.8
49.2
52.9
57.7
66.2
71.9
60.3
49.6
41.6
36.4
34.8
40.3
42.2
48.1
47.4
53.1
61.7
67.6
55.5
48.2
40.1
36.4
34.4
41.1
44.2
48
48.7
54.8
63.6
70.1
58.3
50.9
42
37.4
36.3
43.5
46.3
53
48.9
58.9
67.3
72.3
61.7
52
42.5
38.1
37.5
42.1
44.6
50.3
48.9
59.2
69.2
74.9
61.9
50.9
41
36.8
36
41.4
47.2
45.9
51.9
59.8
69.1
76.9
62.8
52.8
44.7
40.4
38.7
43.8
47.6
52.6
52
60.6
68.8
78.5
64.7
55
45
42
40.82
46.05
48.66
54.3
54.8
61.6
72.8
81.9
66.59
58.28
47.39
45.02
40.82
46.05
48.66
53.94
58.22
65.13
77.26
83.62
69.99
61.89
50.12
47
45.69
50.59
52.29
62.62
59.1
68.65
77.64
82.86
70.63
61.76
50.9
47.52
46.18
50.95
54.32
57.52
59.29
66.76
75.08
81.49
69.36
61.11
51.8
47.72
45.42
50.17
53.34
59.55
58.37
67.76
74.97
81.78
68.33
59.28
51.12
48.03
46.54
51.52
29.02
0
12.17
18.82
36.16
45.31
26.76
20.97
